INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,DTXCID,CASRN,INCHIKEY,IUPAC_NAME,SMILES,INCHI_STRING,QSAR_READY_SMILES,MOLECULAR_FORMULA
DTXSID10143255,DSSTox_Substance_Id,DTXSID10143255,"d-Glucose, ether with glycerol",DTXCID3065746,100402-60-6,VDBLFKODSKYWQX-NWVPAHFOSA-N,"(2R,3S,4R,5R,2'R,3'S,4'R,5'R)-2,2'-Oxybis(3,4,5,6-tetrahydroxyhexanal)--propane-1,2,3-triol (1/1) (non-preferred name)",OCC(O)CO.OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO)C=O,"InChI=1S/C12H22O11.C3H8O3/c13-1-5(17)9(19)11(21)7(3-15)23-8(4-16)12(22)10(20)6(18)2-14;4-1-3(6)2-5/h3-14,17-22H,1-2H2;3-6H,1-2H2/t5-,6-,7+,8+,9-,10-,11-,12-;/m1./s1
",OCC(O)C(O)C(O)C(OC(C=O)C(O)C(O)C(O)CO)C=O,C15H30O14
DTXSID3021437,DSSTox_Substance_Id,DTXSID3021437,4-Vinylcyclohexene,DTXCID601437,100-40-3,BBDKZWKEPDTENS-UHFFFAOYSA-N,4-Ethenylcyclohex-1-ene,C=CC1CCC=CC1,"InChI=1/C8H12/c1-2-8-6-4-3-5-7-8/h2-4,8H,1,5-7H2
",C=CC1CCC=CC1,C8H12
DTXSID3020596,DSSTox_Substance_Id,DTXSID3020596,Ethylbenzene,DTXCID10596,100-41-4,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,Ethylbenzene,CCC1=CC=CC=C1,"InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3
",CCC1=CC=CC=C1,C8H10
DTXSID20143261,DSSTox_Substance_Id,DTXSID20143261,Hydroxyethyl-2-nitro-p-toluidine,DTXCID7065752,100418-33-5,SCZQUWZLEIYDBD-UHFFFAOYSA-N,2-(4-Methyl-2-nitroanilino)ethan-1-ol,CC1=CC(=C(NCCO)C=C1)[N+]([O-])=O,"InChI=1S/C9H12N2O3/c1-7-2-3-8(10-4-5-12)9(6-7)11(13)14/h2-3,6,10,12H,4-5H2,1H3
",CC1=CC(=C(NCCO)C=C1)[N+]([O-])=O,C9H12N2O3
DTXSID2021284,DSSTox_Substance_Id,DTXSID2021284,Styrene,DTXCID501284,100-42-5,PPBRXRYQALVLMV-UHFFFAOYSA-N,Ethenylbenzene,C=CC1=CC=CC=C1,"InChI=1S/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2
",C=CC1=CC=CC=C1,C8H8
DTXSID9029302,DSSTox_Substance_Id,DTXSID9029302,2-Propyl-1-heptanol,DTXCID309302,10042-59-8,YLQLIQIAXYRMDL-UHFFFAOYSA-N,2-Propylheptan-1-ol,CCCCCC(CO)CCC,"InChI=1/C10H22O/c1-3-5-6-8-10(9-11)7-4-2/h10-11H,3-9H2,1-2H3
",CCCCCC(CO)CCC,C10H22O
DTXSID9064924,DSSTox_Substance_Id,DTXSID9064924,Strontium nitrate,DTXCID4032530,10042-76-9,DHEQXMRUPNDRPG-UHFFFAOYSA-N,Strontium dinitrate,[Sr++].[O-][N+]([O-])=O.[O-][N+]([O-])=O,"InChI=1S/2NO3.Sr/c2*2-1(3)4;/q2*-1;+2
",,N2O6Sr
DTXSID2040317,DSSTox_Substance_Id,DTXSID2040317,Aluminum sesquisulfate,DTXCID0020317,10043-01-3,DIZPMCHEQGEION-UHFFFAOYSA-H,Aluminium sulfate (2/3),[Al+3].[Al+3].[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O,"InChI=1S/2Al.3H2O4S/c;;3*1-5(2,3)4/h;;3*(H2,1,2,3,4)/q2*+3;;;/p-6
",,Al2O12S3
DTXSID1020194,DSSTox_Substance_Id,DTXSID1020194,Boric acid (H3BO3),DTXCID10194,10043-35-3,KGBXLFKZBHKPEV-UHFFFAOYSA-N,Boric acid,OB(O)O,"InChI=1S/BH3O3/c2-1(3)4/h2-4H
",,BH3O3
DTXSID5020235,DSSTox_Substance_Id,DTXSID5020235,Calcium chloride,DTXCID30235,10043-52-4,UXVMQQNJUSDDNG-UHFFFAOYSA-L,Calcium dichloride,[Cl-].[Cl-].[Ca++],"InChI=1S/Ca.2ClH/h;2*1H/q+2;;/p-2
",,CaCl2
DTXSID0051499,DSSTox_Substance_Id,DTXSID0051499,4-Vinylpyridine,DTXCID4030047,100-43-6,KFDVPJUYSDEJTH-UHFFFAOYSA-N,4-Ethenylpyridine,C=CC1=CC=NC=C1,"InChI=1S/C7H7N/c1-2-7-3-5-8-6-4-7/h2-6H,1H2
",C=CC1=CC=NC=C1,C7H7N
DTXSID9039234,DSSTox_Substance_Id,DTXSID9039234,Aluminum potassium sulfate,DTXCID7051,10043-67-1,GRLPQNLYRHEGIJ-UHFFFAOYSA-J,Aluminium potassium sulfate (1/1/2),[Al+3].[K+].[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O,"InChI=1S/Al.K.2H2O4S/c;;2*1-5(2,3)4/h;;2*(H2,1,2,3,4)/q+3;+1;;/p-4
",,AlKO8S2
DTXSID0020153,DSSTox_Substance_Id,DTXSID0020153,Benzyl chloride,DTXCID00153,100-44-7,KCXMKQUNVWSEMD-UHFFFAOYSA-N,(Chloromethyl)benzene,ClCC1=CC=CC=C1,"InChI=1S/C7H7Cl/c8-6-7-4-2-1-3-5-7/h1-5H,6H2
",ClCC1=CC=CC=C1,C7H7Cl
DTXSID5021839,DSSTox_Substance_Id,DTXSID5021839,Benzylamine,DTXCID201839,100-46-9,WGQKYBSKWIADBV-UHFFFAOYSA-N,1-Phenylmethanamine,NCC1=CC=CC=C1,"InChI=1S/C7H9N/c8-6-7-4-2-1-3-5-7/h1-5H,6,8H2
",NCC1=CC=CC=C1,C7H9N
DTXSID7021491,DSSTox_Substance_Id,DTXSID7021491,Benzonitrile,DTXCID001491,100-47-0,JFDZBHWFFUWGJE-UHFFFAOYSA-N,Benzonitrile,N#CC1=CC=CC=C1,"InChI=1S/C7H5N/c8-6-7-4-2-1-3-5-7/h1-5H
",N#CC1=CC=CC=C1,C7H5N
DTXSID9041528,DSSTox_Substance_Id,DTXSID9041528,4-Pyridinecarbonitrile,DTXCID7021528,100-48-1,GPHQHTOMRSGBNZ-UHFFFAOYSA-N,Pyridine-4-carbonitrile,N#CC1=CC=NC=C1,"InChI=1S/C6H4N2/c7-5-6-1-3-8-4-2-6/h1-4H
",N#CC1=CC=NC=C1,C6H4N2
DTXSID5023958,DSSTox_Substance_Id,DTXSID5023958,Chlorine dioxide,DTXCID803958,10049-04-4,OSVXSBDYLRYLIG-UHFFFAOYSA-N,Chlorosyloxidanyl,[O][Cl]=O,"InChI=1S/ClO2/c2-1-3
",,ClO2
DTXSID1026661,DSSTox_Substance_Id,DTXSID1026661,3-Cyclohexene-1-carboxaldehyde,DTXCID006661,100-50-5,DCFDVJPDXYGCOK-UHFFFAOYSA-N,Cyclohex-3-ene-1-carbaldehyde,O=CC1CCC=CC1,"InChI=1/C7H10O/c8-6-7-4-2-1-3-5-7/h1-2,6-7H,3-5H2
",O=CC1CCC=CC1,C7H10O
DTXSID5020152,DSSTox_Substance_Id,DTXSID5020152,Benzyl alcohol,DTXCID70152,100-51-6,WVDDGKGOMKODPV-UHFFFAOYSA-N,Phenylmethanol,OCC1=CC=CC=C1,"InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2
",OCC1=CC=CC=C1,C7H8O
DTXSID8039241,DSSTox_Substance_Id,DTXSID8039241,Benzaldehyde,DTXCID90134,100-52-7,HUMNYLRZRPPJDN-UHFFFAOYSA-N,Benzaldehyde,O=CC1=CC=CC=C1,"InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H
",O=CC1=CC=CC=C1,C7H6O
DTXSID6026664,DSSTox_Substance_Id,DTXSID6026664,Benzenemethanethiol,DTXCID206664,100-53-8,UENWRTRMUIOCKN-UHFFFAOYSA-N,Phenylmethanethiol,SCC1=CC=CC=C1,"InChI=1S/C7H8S/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2
",SCC1=CC=CC=C1,C7H8S
DTXSID1026665,DSSTox_Substance_Id,DTXSID1026665,3-Pyridinecarbonitrile,DTXCID606665,100-54-9,GZPHSAQLYPIAIN-UHFFFAOYSA-N,Pyridine-3-carbonitrile,N#CC1=CN=CC=C1,"InChI=1S/C6H4N2/c7-4-6-2-1-3-8-5-6/h1-3,5H
",N#CC1=CN=CC=C1,C6H4N2
DTXSID9021841,DSSTox_Substance_Id,DTXSID9021841,N-Methylaniline,DTXCID301841,100-61-8,AFBPFSWMIHJQDM-UHFFFAOYSA-N,N-Methylaniline,CNC1=CC=CC=C1,"InChI=1S/C7H9N/c1-8-7-5-3-2-4-6-7/h2-6,8H,1H3
",CNC1=CC=CC=C1,C7H9N
DTXSID4021842,DSSTox_Substance_Id,DTXSID4021842,Cyclohexanone oxime,DTXCID701842,100-64-1,VEZUQRBDRNJBJY-UHFFFAOYSA-N,N-Cyclohexylidenehydroxylamine,ON=C1CCCCC1,"InChI=1S/C6H11NO/c8-7-6-4-2-1-3-5-6/h8H,1-5H2
",ON=C1CCCCC1,C6H11NO
DTXSID0034857,DSSTox_Substance_Id,DTXSID0034857,Quizalofop-p-ethyl,DTXCID8014857,100646-51-3,OSUHJPCHFDQAIT-GFCCVEGCSA-N,Ethyl (2R)-2-{4-[(6-chloroquinoxalin-2-yl)oxy]phenoxy}propanoate,CCOC(=O)[C@@H](C)OC1=CC=C(OC2=CN=C3C=C(Cl)C=CC3=N2)C=C1,"InChI=1S/C19H17ClN2O4/c1-3-24-19(23)12(2)25-14-5-7-15(8-6-14)26-18-11-21-17-10-13(20)4-9-16(17)22-18/h4-12H,3H2,1-2H3/t12-/m1/s1
","CCOC(=O)C(C)OC1=CC=C(OC2=CN=C3C=C(Cl)C=CC3=N2)C=C1,CCOC(=O)[C@@H](C)OC1=CC=C(OC2=CN=C3C=C(Cl)C=CC3=N2)C=C1",C19H17ClN2O4
DTXSID4041608,DSSTox_Substance_Id,DTXSID4041608,Anisole,DTXCID2021608,100-66-3,RDOXTESZEPMUJZ-UHFFFAOYSA-N,Anisole,COC1=CC=CC=C1,"InChI=1S/C7H8O/c1-8-7-5-3-2-4-6-7/h2-6H,1H3
",COC1=CC=CC=C1,C7H8O
DTXSID1026667,DSSTox_Substance_Id,DTXSID1026667,2-Vinylpyridine,DTXCID406667,100-69-6,KGIGUEBEKRSTEW-UHFFFAOYSA-N,2-Ethenylpyridine,C=CC1=NC=CC=C1,"InChI=1S/C7H7N/c1-2-7-5-3-4-6-8-7/h2-6H,1H2
",C=CC1=NC=CC=C1,C7H7N
DTXSID0037495,DSSTox_Substance_Id,DTXSID0037495,Deisopropylatrazine,DTXCID8017495,1007-28-9,IVENSCMCQBJAKW-UHFFFAOYSA-N,"6-Chloro-N~2~-ethyl-1,3,5-triazine-2,4-diamine",CCNC1=NC(N)=NC(Cl)=N1,"InChI=1S/C5H8ClN5/c1-2-8-5-10-3(6)9-4(7)11-5/h2H2,1H3,(H3,7,8,9,10,11)
",CCNC1=NC(N)=NC(Cl)=N1,C5H8ClN5
DTXSID5025312,DSSTox_Substance_Id,DTXSID5025312,N-Ethylmorpholine,DTXCID205312,100-74-3,HVCNXQOWACZAFN-UHFFFAOYSA-N,4-Ethylmorpholine,CCN1CCOCC1,"InChI=1S/C6H13NO/c1-2-7-3-5-8-6-4-7/h2-6H2,1H3
",CCN1CCOCC1,C6H13NO
DTXSID9034650,DSSTox_Substance_Id,DTXSID9034650,Halosulfuron-methyl,DTXCID7014650,100784-20-1,FMGZEUWROYGLAY-UHFFFAOYSA-N,"Methyl 3-chloro-5-{[(4,6-dimethoxypyrimidin-2-yl)carbamoyl]sulfamoyl}-1-methyl-1H-pyrazole-4-carboxylate",COC(=O)C1=C(N(C)N=C1Cl)S(=O)(=O)NC(=O)NC1=NC(OC)=CC(OC)=N1,"InChI=1S/C13H15ClN6O7S/c1-20-10(8(9(14)18-20)11(21)27-4)28(23,24)19-13(22)17-12-15-6(25-2)5-7(16-12)26-3/h5H,1-4H3,(H2,15,16,17,19,22)
",COC(=O)C1=C(N(C)N=C1Cl)S(=O)(=O)NC(=O)NC1=NC(OC)=CC(OC)=N1,C13H15ClN6O7S
DTXSID9021845,DSSTox_Substance_Id,DTXSID9021845,Solketal,DTXCID901845,100-79-8,RNVYQYLELCKWAN-UHFFFAOYSA-N,"(2,2-Dimethyl-1,3-dioxolan-4-yl)methanol",CC1(C)OCC(CO)O1,"InChI=1/C6H12O3/c1-6(2)8-4-5(3-7)9-6/h5,7H,3-4H2,1-2H3
",CC1(C)OCC(CO)O1,C6H12O3
